Quantity,day_of_week,day_of_week_index,InvoiceNo
6,Monday,3.0,539492
3,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
3,Monday,3.0,539492
5,Monday,3.0,539492
1,Monday,3.0,539492
7,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
2,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
2,Monday,3.0,539492
2,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
3,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
2,Monday,3.0,539492
3,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
2,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
2,Monday,3.0,539492
4,Monday,3.0,539492
1,Monday,3.0,539492
2,Monday,3.0,539492
2,Monday,3.0,539492
1,Monday,3.0,539492
2,Monday,3.0,539492
3,Monday,3.0,539492
4,Monday,3.0,539492
2,Monday,3.0,539492
2,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
3,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
3,Monday,3.0,539492
2,Monday,3.0,539492
1,Monday,3.0,539492
2,Monday,3.0,539492
2,Monday,3.0,539492
2,Monday,3.0,539492
3,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
6,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
2,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
2,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
2,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
3,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
2,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
2,Monday,3.0,539492
2,Monday,3.0,539492
2,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
2,Monday,3.0,539492
3,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
4,Monday,3.0,539492
9,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
3,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
2,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
2,Monday,3.0,539492
2,Monday,3.0,539492
1,Monday,3.0,539492
2,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
2,Monday,3.0,539492
2,Monday,3.0,539492
10,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
6,Monday,3.0,539492
1,Monday,3.0,539492
2,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
2,Monday,3.0,539492
2,Monday,3.0,539492
2,Monday,3.0,539492
2,Monday,3.0,539492
1,Monday,3.0,539492
6,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
6,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
3,Monday,3.0,539492
2,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
1,Monday,3.0,539492
11,Monday,3.0,539492
2,Monday,3.0,539493
1,Monday,3.0,539493
1,Monday,3.0,539493
1,Monday,3.0,539493
2,Monday,3.0,539493
1,Monday,3.0,539493
2,Monday,3.0,539493
1,Monday,3.0,539493
1,Monday,3.0,539493
1,Monday,3.0,539493
752,Monday,3.0,539494
36,Monday,3.0,539495
1,Monday,3.0,539496
12,Monday,3.0,539496
6,Monday,3.0,539496
12,Monday,3.0,539496
12,Monday,3.0,539496
12,Monday,3.0,539496
3,Monday,3.0,539496
4,Monday,3.0,539496
6,Monday,3.0,539496
5,Monday,3.0,539496
6,Monday,3.0,539496
36,Monday,3.0,539496
24,Monday,3.0,539496
10,Monday,3.0,539496
12,Monday,3.0,539496
24,Monday,3.0,539496
2,Monday,3.0,539497
8,Monday,3.0,539497
24,Monday,3.0,539497
12,Monday,3.0,539497
12,Monday,3.0,539497
3,Monday,3.0,539497
12,Monday,3.0,539497
24,Monday,3.0,539497
4,Monday,3.0,539497
12,Monday,3.0,539497
12,Monday,3.0,539497
4,Monday,3.0,539497
4,Monday,3.0,539497
12,Monday,3.0,539497
20,Monday,3.0,539498
48,Monday,3.0,539498
12,Monday,3.0,539498
20,Monday,3.0,539498
12,Monday,3.0,539498
3,Monday,3.0,539498
12,Monday,3.0,539498
1,Monday,3.0,539498
4,Monday,3.0,539498
4,Monday,3.0,539498
2,Monday,3.0,539498
3,Monday,3.0,539498
4,Monday,3.0,539498
3,Monday,3.0,539498
4,Monday,3.0,539498
1,Monday,3.0,539498
12,Monday,3.0,539498
18,Monday,3.0,539498
6,Monday,3.0,539498
-3,Monday,3.0,C539499
54,Monday,3.0,539500
2,Monday,3.0,539501
2,Monday,3.0,539501
3,Monday,3.0,539501
6,Monday,3.0,539501
2,Monday,3.0,539501
6,Monday,3.0,539501
3,Monday,3.0,539501
2,Monday,3.0,539501
5,Monday,3.0,539501
2,Monday,3.0,539501
3,Monday,3.0,539501
2,Monday,3.0,539501
2,Monday,3.0,539501
24,Monday,3.0,539501
4,Monday,3.0,539501
8,Monday,3.0,539501
6,Monday,3.0,539501
4,Monday,3.0,539501
4,Monday,3.0,539501
3,Monday,3.0,539501
6,Monday,3.0,539501
2,Monday,3.0,539501
10,Monday,3.0,539501
5,Monday,3.0,539501
6,Monday,3.0,539501
6,Monday,3.0,539501
5,Monday,3.0,539501
1,Monday,3.0,539501
1,Monday,3.0,539501
1,Monday,3.0,539501
6,Monday,3.0,539502
6,Monday,3.0,539502
48,Monday,3.0,539502
6,Monday,3.0,539502
6,Monday,3.0,539502
6,Monday,3.0,539502
1,Monday,3.0,539502
1,Monday,3.0,539502
2,Monday,3.0,539502
12,Monday,3.0,539502
12,Monday,3.0,539502
12,Monday,3.0,539502
12,Monday,3.0,539502
12,Monday,3.0,539502
2,Monday,3.0,539502
2,Monday,3.0,539502
2,Monday,3.0,539502
4,Monday,3.0,539502
2,Monday,3.0,539502
12,Monday,3.0,539502
12,Monday,3.0,539502
2,Monday,3.0,539502
24,Monday,3.0,539502
7,Monday,3.0,539502
6,Monday,3.0,539502
6,Monday,3.0,539502
3,Monday,3.0,539502
3,Monday,3.0,539502
3,Monday,3.0,539502
6,Monday,3.0,539502
6,Monday,3.0,539502
6,Monday,3.0,539502
7,Monday,3.0,539502
3,Monday,3.0,539502
4,Monday,3.0,539502
3,Monday,3.0,539502
48,Monday,3.0,539502
24,Monday,3.0,539502
48,Monday,3.0,539502
24,Monday,3.0,539502
12,Monday,3.0,539551
24,Monday,3.0,539551
10,Monday,3.0,539551
12,Monday,3.0,539551
12,Monday,3.0,539551
10,Monday,3.0,539551
8,Monday,3.0,539551
8,Monday,3.0,539551
6,Monday,3.0,539551
6,Monday,3.0,539551
3,Monday,3.0,539551
3,Monday,3.0,539551
2,Monday,3.0,539551
12,Monday,3.0,539551
1,Monday,3.0,539551
72,Monday,3.0,539561
96,Monday,3.0,539561
36,Monday,3.0,539561
24,Monday,3.0,539561
24,Monday,3.0,539561
12,Monday,3.0,539561
24,Monday,3.0,539561
48,Monday,3.0,539561
24,Monday,3.0,539564
24,Monday,3.0,539564
16,Monday,3.0,539564
36,Monday,3.0,539564
48,Monday,3.0,539564
48,Monday,3.0,539564
-4,Monday,3.0,C539565
-3,Monday,3.0,C539565
-3,Monday,3.0,C539566
96,Monday,3.0,539567
-6,Monday,3.0,C539568
-6,Monday,3.0,C539569
-1,Monday,3.0,C539569
-13,Monday,3.0,C539569
12,Monday,3.0,539570
10,Monday,3.0,539570
6,Monday,3.0,539570
20,Monday,3.0,539570
10,Monday,3.0,539570
12,Monday,3.0,539570
6,Monday,3.0,539570
12,Monday,3.0,539570
20,Monday,3.0,539570
10,Monday,3.0,539570
2,Monday,3.0,539570
2,Monday,3.0,539570
20,Monday,3.0,539570
2,Monday,3.0,539570
2,Monday,3.0,539571
6,Monday,3.0,539572
96,Monday,3.0,539572
-5,Monday,3.0,C539573
-1,Monday,3.0,C539574
-1,Monday,3.0,C539574
-36,Monday,3.0,C539575
-11,Monday,3.0,C539575
-1,Monday,3.0,C539575
-24,Monday,3.0,C539576
-24,Monday,3.0,C539576
-24,Monday,3.0,C539576
-36,Monday,3.0,C539576
-24,Monday,3.0,C539576
-24,Monday,3.0,C539576
-20,Monday,3.0,C539576
-96,Monday,3.0,C539576
-12,Monday,3.0,C539576
-10,Monday,3.0,C539576
-12,Monday,3.0,C539576
-10,Monday,3.0,C539576
-6,Monday,3.0,C539576
-12,Monday,3.0,C539576
-6,Monday,3.0,C539576
-6,Monday,3.0,C539576
-6,Monday,3.0,C539576
-6,Monday,3.0,C539576
-1,Monday,3.0,C539577
720,Monday,3.0,539578
480,Monday,3.0,539578
480,Monday,3.0,539578
480,Monday,3.0,539578
480,Monday,3.0,539578
960,Monday,3.0,539578
1,Monday,3.0,539579
1,Monday,3.0,539579
1,Monday,3.0,539579
2,Monday,3.0,539579
4,Monday,3.0,539579
1,Monday,3.0,539579
6,Monday,3.0,539579
3,Monday,3.0,539579
6,Monday,3.0,539579
4,Monday,3.0,539579
2,Monday,3.0,539579
2,Monday,3.0,539579
3,Monday,3.0,539579
2,Monday,3.0,539579
3,Monday,3.0,539579
2,Monday,3.0,539579
6,Monday,3.0,539579
2,Monday,3.0,539579
2,Monday,3.0,539579
1,Monday,3.0,539579
1,Monday,3.0,539579
2,Monday,3.0,539579
2,Monday,3.0,539579
2,Monday,3.0,539579
3,Monday,3.0,539579
3,Monday,3.0,539579
3,Monday,3.0,539579
2,Monday,3.0,539579
3,Monday,3.0,539579
1,Monday,3.0,539579
2,Monday,3.0,539579
1,Monday,3.0,539579
1,Monday,3.0,539579
2,Monday,3.0,539579
3,Monday,3.0,539579
2,Monday,3.0,539579
3,Monday,3.0,539579
3,Monday,3.0,539579
3,Monday,3.0,539579
2,Monday,3.0,539579
3,Monday,3.0,539579
6,Monday,3.0,539579
4,Monday,3.0,539579
4,Monday,3.0,539580
4,Monday,3.0,539580
12,Monday,3.0,539580
12,Monday,3.0,539580
12,Monday,3.0,539580
12,Monday,3.0,539580
12,Monday,3.0,539580
12,Monday,3.0,539580
12,Monday,3.0,539580
24,Monday,3.0,539580
6,Monday,3.0,539580
4,Monday,3.0,539580
6,Monday,3.0,539580
12,Monday,3.0,539580
25,Monday,3.0,539580
8,Monday,3.0,539580
12,Monday,3.0,539581
2,Monday,3.0,539581
20,Monday,3.0,539581
12,Monday,3.0,539581
6,Monday,3.0,539581
3,Monday,3.0,539581
4,Monday,3.0,539581
4,Monday,3.0,539581
10,Monday,3.0,539581
6,Monday,3.0,539581
3,Monday,3.0,539581
8,Monday,3.0,539582
1,Monday,3.0,539583
1,Monday,3.0,539584
1,Monday,3.0,539585
24,Monday,3.0,539586
24,Monday,3.0,539586
24,Monday,3.0,539586
48,Monday,3.0,539586
24,Monday,3.0,539586
16,Monday,3.0,539586
108,Monday,3.0,539586
108,Monday,3.0,539586
108,Monday,3.0,539586
8,Monday,3.0,539586
24,Monday,3.0,539586
24,Monday,3.0,539586
36,Monday,3.0,539586
24,Monday,3.0,539586
24,Monday,3.0,539586
24,Monday,3.0,539586
48,Monday,3.0,539586
144,Monday,3.0,539586
48,Monday,3.0,539586
12,Monday,3.0,539586
24,Monday,3.0,539586
12,Monday,3.0,539586
60,Monday,3.0,539586
270,Monday,3.0,539586
24,Monday,3.0,539586
24,Monday,3.0,539586
48,Monday,3.0,539586
24,Monday,3.0,539587
100,Monday,3.0,539587
16,Monday,3.0,539587
24,Monday,3.0,539587
48,Monday,3.0,539587
48,Monday,3.0,539587
48,Monday,3.0,539587
48,Monday,3.0,539587
36,Monday,3.0,539587
32,Monday,3.0,539587
12,Monday,3.0,539587
24,Monday,3.0,539587
32,Monday,3.0,539587
12,Monday,3.0,539587
20,Monday,3.0,539587
20,Monday,3.0,539587
40,Monday,3.0,539587
20,Monday,3.0,539587
40,Monday,3.0,539587
40,Monday,3.0,539587
2,Monday,3.0,539588
1,Monday,3.0,539588
1,Monday,3.0,539588
1,Monday,3.0,539588
2,Monday,3.0,539588
1,Monday,3.0,539588
1,Monday,3.0,539588
1,Monday,3.0,539588
1,Monday,3.0,539588
2,Monday,3.0,539588
1,Monday,3.0,539588
1,Monday,3.0,539588
1,Monday,3.0,539588
1,Monday,3.0,539588
1,Monday,3.0,539588
1,Monday,3.0,539588
2,Monday,3.0,539588
1,Monday,3.0,539588
2,Monday,3.0,539588
-1,Monday,3.0,C539589
12,Monday,3.0,539590
20,Monday,3.0,539590
36,Monday,3.0,539590
36,Monday,3.0,539590
8,Monday,3.0,539590
24,Monday,3.0,539590
32,Monday,3.0,539590
12,Monday,3.0,539590
3,Monday,3.0,539590
40,Monday,3.0,539590
40,Monday,3.0,539590
3,Monday,3.0,539590
24,Monday,3.0,539590
12,Monday,3.0,539590
16,Monday,3.0,539590
24,Monday,3.0,539590
18,Monday,3.0,539590
48,Monday,3.0,539591
3,Monday,3.0,539592
8,Monday,3.0,539593
6,Monday,3.0,539593
6,Monday,3.0,539593
6,Monday,3.0,539593
6,Monday,3.0,539593
4,Monday,3.0,539593
9,Monday,3.0,539593
24,Monday,3.0,539593
24,Monday,3.0,539593
24,Monday,3.0,539593
12,Monday,3.0,539593
12,Monday,3.0,539593
12,Monday,3.0,539593
12,Monday,3.0,539593
6,Monday,3.0,539593
2,Monday,3.0,539593
8,Monday,3.0,539593
24,Monday,3.0,539593
6,Monday,3.0,539593
12,Monday,3.0,539593
12,Monday,3.0,539593
12,Monday,3.0,539593
4,Monday,3.0,539593
4,Monday,3.0,539593
4,Monday,3.0,539593
4,Monday,3.0,539593
4,Monday,3.0,539593
6,Monday,3.0,539593
10,Monday,3.0,539593
6,Monday,3.0,539593
12,Monday,3.0,539593
24,Monday,3.0,539593
40,Monday,3.0,539594
40,Monday,3.0,539594
6,Monday,3.0,539594
6,Monday,3.0,539594
2,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
5,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
2,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
3,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
3,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
4,Monday,3.0,539595
4,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
3,Monday,3.0,539595
1,Monday,3.0,539595
2,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
2,Monday,3.0,539595
4,Monday,3.0,539595
1,Monday,3.0,539595
2,Monday,3.0,539595
1,Monday,3.0,539595
2,Monday,3.0,539595
2,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
5,Monday,3.0,539595
2,Monday,3.0,539595
6,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
2,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
4,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
2,Monday,3.0,539595
2,Monday,3.0,539595
2,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
2,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
2,Monday,3.0,539595
3,Monday,3.0,539595
2,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
2,Monday,3.0,539595
6,Monday,3.0,539595
2,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
2,Monday,3.0,539595
1,Monday,3.0,539595
3,Monday,3.0,539595
3,Monday,3.0,539595
1,Monday,3.0,539595
5,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
2,Monday,3.0,539595
2,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
3,Monday,3.0,539595
1,Monday,3.0,539595
3,Monday,3.0,539595
1,Monday,3.0,539595
2,Monday,3.0,539595
8,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
2,Monday,3.0,539595
3,Monday,3.0,539595
1,Monday,3.0,539595
8,Monday,3.0,539595
3,Monday,3.0,539595
3,Monday,3.0,539595
2,Monday,3.0,539595
2,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
2,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
11,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
4,Monday,3.0,539595
2,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
2,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
2,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
3,Monday,3.0,539595
2,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
5,Monday,3.0,539595
3,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
3,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
6,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
2,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
2,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
3,Monday,3.0,539595
1,Monday,3.0,539595
2,Monday,3.0,539595
5,Monday,3.0,539595
2,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
2,Monday,3.0,539595
2,Monday,3.0,539595
3,Monday,3.0,539595
2,Monday,3.0,539595
1,Monday,3.0,539595
2,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
2,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
2,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
2,Monday,3.0,539595
2,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
2,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
2,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
2,Monday,3.0,539595
1,Monday,3.0,539595
1,Monday,3.0,539595
2,Monday,3.0,539595
-16,Monday,3.0,C539596
12,Monday,3.0,539597
12,Monday,3.0,539597
-11,Monday,3.0,C539598
-12,Monday,3.0,C539598
-6,Monday,3.0,C539599
-12,Monday,3.0,C539600
-2,Monday,3.0,C539601
-2,Monday,3.0,C539602
-4,Monday,3.0,C539602
-9,Monday,3.0,C539602
